card_id,customer_id,card_number,card_type,credit_limit,card_status,issue_date
1,1,2720460804456938,Visa,1000,Active,2025-06-01
2,1,2270080277509569,Mastercard,1000,Active,2025-09-08
3,1,2271840460602011,Visa,500,Active,2021-04-03
4,2,2639505788996547,Mastercard,2500,Active,2012-06-11
5,3,4124721797095407,Visa,1000,Active,2024-01-20
6,3,4305646835480108,Visa,500,Active,2024-08-28
7,4,5564723800645636,Visa,500,Active,2017-05-15
8,5,2411692008609540,Visa,500,Active,2019-10-07
9,5,5151387995712731,Mastercard,500,Active,2020-05-18
10,5,2717066309433234,Mastercard,5000,Stolen,2021-10-02
11,6,4918116398784287,Mastercard,500,Active,2024-12-04
12,7,4196170551550087,Mastercard,1000,Active,2010-12-12
13,7,4503709021468186,Visa,500,Active,2014-04-22
14,7,2591231355878382,Visa,5000,Active,2019-02-10
15,8,4871911020871162,Visa,2500,Active,2024-02-08
16,9,2703662408073032,Mastercard,2500,Active,2022-04-03
17,9,4860159994454416,Mastercard,2500,Active,2013-10-21
18,9,5562747392832726,Mastercard,2500,Active,2017-02-04
19,10,4504555406429890,Visa,1000,Active,2024-02-20
20,10,2705778261717271,Mastercard,2500,Active,2020-10-12
21,10,2222505463854089,Mastercard,500,Active,2020-05-29
22,11,5203611397876671,Mastercard,500,Active,2010-02-16
23,12,5181336018054856,Mastercard,1000,Stolen,2020-01-03
24,12,5414593700349213,Visa,1000,Active,2021-10-25
25,13,2709431192749130,Mastercard,2500,Active,2022-08-07
26,14,4387943093513253,Visa,1000,Active,2023-02-12
27,14,2408407520156747,Mastercard,500,Active,2023-05-03
28,15,4272729016457449,Visa,500,Active,2025-07-04
29,15,4459249582692001,Visa,10000,Active,2025-08-31
30,15,4077765874269515,Visa,500,Active,2025-06-07
31,16,4095612766878102,Visa,2500,Active,2011-04-14
32,16,4671184566763191,Visa,2500,Active,2008-05-16
33,16,4816695171287272,Mastercard,500,Active,2009-06-30
34,17,4571012702181161,Mastercard,10000,Active,2022-08-17
