customer_id,first_name,last_name,date_of_birth,city,country,registration_date
1,Əmin,Talıblı,1989-04-07,Sumqayıt,Azerbaijan,2018-03-19 00:35:17
2,Hüseynqulu,Arifcanov,1982-09-07,Bakı,Azerbaijan,2010-03-23 11:15:15
3,Səmayə,Veysəlli,2001-10-21,Bakı,Azerbaijan,2023-05-26 06:18:43
4,Asəf,Əlioğlu,1950-10-31,Lənkəran,Azerbaijan,1985-05-13 04:36:24
5,İlqar,Şeyxzadə,1985-03-23,Lənkəran,Azerbaijan,2011-10-18 10:32:12
6,Yusif,Əbdülrəhmanlı,2001-10-06,Sumqayıt,Azerbaijan,2024-11-26 18:04:33
7,Hümbət,İldırımoğlu,1984-04-21,Lənkəran,Azerbaijan,2010-10-24 11:22:26
8,Yeganə,İbrahimova,1972-09-25,Gəncə,Azerbaijan,2008-04-27 09:52:49
9,Ağca,Veysəlli,1982-09-06,Bakı,Azerbaijan,2013-01-12 14:04:43
10,Sayalı,Şərifova,1996-10-17,Mingəçevir,Azerbaijan,2020-05-16 07:26:17
11,Ramid,Qədirzadə,1975-10-16,Bakı,Azerbaijan,1999-04-28 02:06:55
12,Vüsal,Sadiqov,1951-04-16,Mingəçevir,Azerbaijan,2019-01-01 11:40:11
13,Nəzrin,Pənahov,1957-02-19,Bakı,Azerbaijan,2019-11-25 22:55:22
14,Qulu,Sədaqətoğlu,1980-01-05,Bakı,Azerbaijan,2022-04-11 23:25:22
15,Fərda,Qutqaşınlı,2007-01-02,Bakı,Azerbaijan,2025-05-20 12:30:55
16,Hüsniyyə,İsmayılqızı,1962-11-18,Quba,Azerbaijan,2003-03-22 16:30:17
17,Fimar,Kərimov,2001-11-25,Quba,Azerbaijan,2021-11-24 18:59:06
18,Səma,İbrahimova,1994-03-14,Bakı,Azerbaijan,2013-08-07 21:39:39
19,Gülnur,Həsənzadə,1985-08-17,Quba,Azerbaijan,2017-11-10 13:21:47
20,Şeyda,Yusifoğlu,1980-11-14,Bakı,Azerbaijan,2009-03-16 16:32:33
21,Famil ,Şıxlı,2000-05-06,Bakı,Azerbaijan,2024-02-02 06:43:38
22,Şahvələd,Cabbarlı,1987-10-15,Şirvan,Azerbaijan,2020-03-17 19:59:41
23,Aytən,Əsgərov,1956-11-09,Bakı,Azerbaijan,1990-06-25 13:26:36
24,Ulduz,Vəliyeva,2006-03-01,Quba,Azerbaijan,2024-03-26 01:46:27
25,Tariyel,Şamilov,1973-06-08,Sumqayıt,Azerbaijan,2005-05-02 18:08:25
